
Host: rho

Timers On : Wed May 15 11:49:41 2019
Timers Off: Wed May 15 11:50:50 2019

Wall Time:       69.20 seconds

| DFMP2 Aia Read            :      0.000u      0.000s      0.002w      1 calls
| DFMP2 (Q|A)(A|ia)         :      0.067u      0.017s      0.038w      2 calls
| DFMP2 Qia Write           :      0.000u      0.000s      0.003w      1 calls
| DFMP2 Qia Read            :      0.000u      0.000s      0.001w      1 calls
| DFMP2 Bia Write           :      0.000u      0.000s      0.003w      1 calls
DFMP2 aiQ                   :      0.000u      0.017s      0.009w      1 calls
DFMP2 Tij                   :      0.283u      0.033s      0.192w      1 calls
| DFMP2 Qia Read            :      0.017u      0.000s      0.002w      2 calls
| DFMP2 Cia Read            :      0.000u      0.000s      0.001w      1 calls
| DFMP2 I                   :      0.100u      0.000s      0.064w      1 calls
| DFMP2 T2                  :      0.017u      0.000s      0.011w      1 calls
| DFMP2 G                   :      0.117u      0.000s      0.066w      1 calls
| DFMP2 Pab                 :      0.033u      0.000s      0.022w      1 calls
| DFMP2 Gia Write           :      0.000u      0.000s      0.003w      1 calls
DFMP2 Tab                   :      0.133u      0.017s      0.095w      1 calls
| DFMP2 Qai Read            :      0.000u      0.000s      0.002w      2 calls
| DFMP2 I                   :      0.100u      0.000s      0.062w      1 calls
| DFMP2 T2                  :      0.017u      0.000s      0.010w      1 calls
| DFMP2 Pij                 :      0.017u      0.000s      0.005w      1 calls
DFMP2 gamma                 :      0.033u      0.000s      0.026w      1 calls
| DFMP2 Gia Read            :      0.000u      0.000s      0.001w      1 calls
| DFMP2 Cia Read            :      0.000u      0.000s      0.001w      1 calls
| DFMP2 g                   :      0.033u      0.000s      0.020w      1 calls
DFMP2 Gia                   :      0.033u      0.000s      0.017w      1 calls
| DFMP2 Gia Read            :      0.000u      0.000s      0.001w      1 calls
| DFMP2 aiG Write           :      0.000u      0.000s      0.002w      1 calls
DFMP2 AB^x                  :      0.067u      0.000s      0.052w      1 calls
DFMP2 Amn^x                 :      2.850u      0.050s      1.737w      1 calls
DFMP2 L                     :      0.650u      0.050s      0.418w      1 calls
DFMP2 P                     :      0.000u      0.000s      0.003w      1 calls
DFMP2 W                     :      0.000u      0.000s      0.003w      1 calls
DFMP2 Z                     :      1.300u      0.067s      0.826w      1 calls
| DFH: initialize()         :      0.600u      0.033s      0.383w      1 calls
| | DFH: sparsity prep      :      0.033u      0.000s      0.025w      1 calls
| | DFH: AO Construction    :      0.350u      0.000s      0.216w      1 calls
| | DFH: AO-Met. Contraction:      0.117u      0.017s      0.084w      1 calls
| JK: D                     :      0.000u      0.000s      0.000w     13 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     13 calls
| JK: JK                    :      0.700u      0.033s      0.424w     13 calls
